epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.3721,1.2503,1.43769,1.14417,0.93829,0.87276,0.91457,0.56668,1.28443,0.85403,1.19411,0.000665158,0.000665158,0.000665158
2,156.456,1.25913,0.83786,1.14886,0.93163,0.87016,0.90748,0.55288,1.27827,0.78821,1.20951,0.00129062,0.00129062,0.00129062
3,230.318,1.24859,0.7643,1.14437,0.94398,0.88276,0.93173,0.59245,1.24156,0.75982,1.14884,0.00187484,0.00187484,0.00187484
4,303.596,1.23277,0.71601,1.13669,0.93157,0.88292,0.91768,0.61027,1.20187,0.66763,1.15655,0.00181438,0.00181438,0.00181438
5,376.775,1.20156,0.6705,1.12181,0.97069,0.88929,0.94528,0.63449,1.19332,0.6178,1.14825,0.0017525,0.0017525,0.0017525
6,449.612,1.19094,0.64484,1.1151,0.95913,0.90661,0.94855,0.64702,1.16293,0.58551,1.10666,0.00169063,0.00169063,0.00169063
7,522.885,1.18315,0.62581,1.11528,0.96753,0.90954,0.95,0.64084,1.17848,0.5513,1.11538,0.00162875,0.00162875,0.00162875
8,596.052,1.15775,0.60672,1.10106,0.97824,0.92153,0.95701,0.65412,1.15054,0.54609,1.10159,0.00156688,0.00156688,0.00156688
9,669.314,1.15218,0.59586,1.09157,0.9728,0.91526,0.95446,0.66088,1.12354,0.52303,1.08296,0.001505,0.001505,0.001505
10,742.454,1.13279,0.57194,1.08001,0.975,0.90629,0.95356,0.6589,1.15943,0.51803,1.09381,0.00144312,0.00144312,0.00144312
11,815.194,1.13122,0.56596,1.08233,0.96989,0.9244,0.96281,0.66497,1.13286,0.50569,1.08887,0.00138125,0.00138125,0.00138125
12,888.393,1.12762,0.56126,1.07744,0.97574,0.91936,0.96025,0.66839,1.12037,0.48731,1.08505,0.00131938,0.00131938,0.00131938
13,961.631,1.10567,0.53949,1.07291,0.98368,0.93388,0.96687,0.6736,1.12038,0.48865,1.08155,0.0012575,0.0012575,0.0012575
14,1034.65,1.10068,0.53358,1.0693,0.97928,0.9257,0.96315,0.67558,1.11255,0.49299,1.07704,0.00119562,0.00119562,0.00119562
15,1107.51,1.1052,0.52399,1.07485,0.98058,0.93349,0.96881,0.68209,1.09974,0.46672,1.07272,0.00113375,0.00113375,0.00113375
16,1180.37,1.09003,0.51831,1.0613,0.98131,0.93713,0.96531,0.68023,1.10191,0.47046,1.06882,0.00107187,0.00107187,0.00107187
17,1253.27,1.08349,0.50591,1.05766,0.9768,0.94002,0.96706,0.67393,1.10875,0.45529,1.07381,0.00101,0.00101,0.00101
18,1326.22,1.09022,0.50463,1.06153,0.98225,0.93282,0.96706,0.68621,1.08365,0.46633,1.06289,0.000948125,0.000948125,0.000948125
19,1398.94,1.06992,0.49393,1.05023,0.98073,0.93349,0.96916,0.69129,1.09163,0.44261,1.05923,0.00088625,0.00088625,0.00088625
20,1471.83,1.06812,0.49372,1.047,0.97868,0.93576,0.96742,0.68397,1.09556,0.44856,1.06116,0.000824375,0.000824375,0.000824375
21,1544.55,1.07437,0.48649,1.05226,0.98084,0.93804,0.97032,0.68689,1.08958,0.44224,1.05776,0.0007625,0.0007625,0.0007625
22,1617.1,1.06306,0.48036,1.04849,0.98117,0.93759,0.97159,0.69042,1.08946,0.43013,1.06198,0.000700625,0.000700625,0.000700625
23,1716.95,1.05335,0.43265,1.05757,0.98645,0.93576,0.974,0.69431,1.08206,0.44916,1.06025,0.00063875,0.00063875,0.00063875
24,1789.91,1.04536,0.42861,1.05675,0.98011,0.93941,0.97145,0.69871,1.08265,0.44075,1.05819,0.000576875,0.000576875,0.000576875
25,1861.35,1.03606,0.42311,1.05005,0.98407,0.93941,0.97159,0.69784,1.07628,0.42955,1.05556,0.000515,0.000515,0.000515
26,1932.66,1.02439,0.41269,1.0427,0.97772,0.94169,0.97195,0.70239,1.06166,0.41582,1.04389,0.000453125,0.000453125,0.000453125
27,2004.18,1.01534,0.40718,1.03975,0.97985,0.93895,0.97222,0.70258,1.06533,0.4176,1.05067,0.00039125,0.00039125,0.00039125
28,2075.35,1.00499,0.39655,1.0336,0.97917,0.94123,0.97148,0.7063,1.05773,0.41142,1.04342,0.000329375,0.000329375,0.000329375
29,2146.42,1.00398,0.39054,1.03243,0.98381,0.94134,0.97332,0.70447,1.0622,0.40876,1.04412,0.0002675,0.0002675,0.0002675
30,2218.19,0.99207,0.3844,1.02764,0.982,0.94422,0.97553,0.70519,1.06184,0.40324,1.0444,0.000205625,0.000205625,0.000205625
31,2288.75,0.98425,0.37599,1.02347,0.98379,0.93984,0.97482,0.71161,1.05229,0.4008,1.03997,0.00014375,0.00014375,0.00014375
32,2359.5,0.97457,0.37047,1.01726,0.98583,0.94123,0.97322,0.71244,1.04984,0.39262,1.0381,8.1875e-05,8.1875e-05,8.1875e-05
