epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1844,1.29216,1.5206,1.213,0.89215,0.83052,0.87119,0.49474,1.40365,1.02327,1.2111,0.000665158,0.000665158,0.000665158
2,138.916,1.29135,0.92414,1.21445,0.92218,0.84755,0.91664,0.54521,1.37957,0.82111,1.22541,0.00130545,0.00130545,0.00130545
3,205.356,1.2851,0.84354,1.21303,0.92106,0.86651,0.919,0.55554,1.34617,0.80122,1.19606,0.00191935,0.00191935,0.00191935
4,272.005,1.25733,0.77351,1.18978,0.9508,0.88474,0.92962,0.54109,1.41436,0.73089,1.20802,0.0018812,0.0018812,0.0018812
5,339.199,1.23789,0.74014,1.18665,0.95131,0.89902,0.93361,0.57023,1.33639,0.70408,1.18145,0.0018416,0.0018416,0.0018416
6,404.51,1.20502,0.6926,1.16205,0.96315,0.88428,0.94033,0.59897,1.29136,0.61775,1.15833,0.001802,0.001802,0.001802
7,470.109,1.1917,0.66866,1.15151,0.95375,0.8861,0.92605,0.5478,1.47671,0.66094,1.24266,0.0017624,0.0017624,0.0017624
8,535.693,1.18095,0.66301,1.15907,0.94262,0.90553,0.94106,0.56669,1.40513,0.61134,1.19794,0.0017228,0.0017228,0.0017228
9,601.59,1.16499,0.63116,1.1387,0.96291,0.9139,0.95167,0.60841,1.28533,0.57381,1.15474,0.0016832,0.0016832,0.0016832
10,666.527,1.14387,0.61306,1.13036,0.96289,0.90478,0.94965,0.60954,1.26831,0.56331,1.14702,0.0016436,0.0016436,0.0016436
11,731.59,1.14925,0.60813,1.13372,0.96642,0.918,0.95421,0.63823,1.19046,0.5517,1.11224,0.001604,0.001604,0.001604
12,797.122,1.13221,0.60349,1.12065,0.98089,0.92073,0.96238,0.64478,1.18716,0.54197,1.10701,0.0015644,0.0015644,0.0015644
13,862.538,1.1277,0.58372,1.11945,0.96706,0.92073,0.9553,0.64218,1.18532,0.53707,1.11303,0.0015248,0.0015248,0.0015248
14,927.435,1.11551,0.57587,1.11304,0.97316,0.92073,0.95503,0.64877,1.17889,0.52643,1.10879,0.0014852,0.0014852,0.0014852
15,992.812,1.1208,0.57405,1.12053,0.96131,0.92809,0.95347,0.64103,1.18494,0.51076,1.10309,0.0014456,0.0014456,0.0014456
16,1058.01,1.10532,0.5564,1.11339,0.97612,0.9139,0.95573,0.63999,1.21677,0.50391,1.11631,0.001406,0.001406,0.001406
17,1122.91,1.09483,0.54525,1.10504,0.97526,0.91982,0.9567,0.64769,1.1954,0.49844,1.10487,0.0013664,0.0013664,0.0013664
18,1187.73,1.08458,0.53954,1.09537,0.971,0.91513,0.95625,0.64123,1.22992,0.50472,1.11571,0.0013268,0.0013268,0.0013268
19,1252.51,1.08995,0.54551,1.10482,0.97661,0.93196,0.96235,0.65558,1.18235,0.47854,1.09173,0.0012872,0.0012872,0.0012872
20,1317.6,1.08098,0.53349,1.09654,0.96034,0.918,0.95144,0.62012,1.27802,0.50192,1.13436,0.0012476,0.0012476,0.0012476
21,1382.61,1.07474,0.52653,1.09716,0.97398,0.93794,0.96404,0.6602,1.18149,0.46484,1.09214,0.001208,0.001208,0.001208
22,1448.17,1.07009,0.52015,1.09088,0.97745,0.92815,0.96103,0.65453,1.1753,0.48644,1.09245,0.0011684,0.0011684,0.0011684
23,1513.48,1.06239,0.51404,1.08532,0.97683,0.92756,0.966,0.65782,1.18609,0.47144,1.09603,0.0011288,0.0011288,0.0011288
24,1578.63,1.05271,0.49814,1.0812,0.98079,0.93064,0.96721,0.67385,1.14156,0.46221,1.07764,0.0010892,0.0010892,0.0010892
25,1643.86,1.04623,0.49833,1.07879,0.97443,0.93121,0.9628,0.66556,1.1859,0.45896,1.09454,0.0010496,0.0010496,0.0010496
26,1709.21,1.05068,0.49456,1.08496,0.98114,0.92847,0.96579,0.66377,1.17317,0.45932,1.08918,0.00101,0.00101,0.00101
27,1774.18,1.03572,0.48998,1.07697,0.97246,0.93303,0.96694,0.67594,1.1511,0.44063,1.07667,0.0009704,0.0009704,0.0009704
28,1839.37,1.03755,0.48949,1.07203,0.9751,0.93667,0.96724,0.66892,1.14068,0.44189,1.07367,0.0009308,0.0009308,0.0009308
29,1904.44,1.03699,0.48611,1.0698,0.97527,0.94077,0.96619,0.66732,1.15705,0.45033,1.0816,0.0008912,0.0008912,0.0008912
30,1969.7,1.02262,0.47398,1.06126,0.98136,0.93257,0.96673,0.68211,1.11131,0.44538,1.0676,0.0008516,0.0008516,0.0008516
31,2034.9,1.0273,0.47657,1.06921,0.98352,0.93257,0.96577,0.66335,1.16793,0.44431,1.0791,0.000812,0.000812,0.000812
32,2099.68,1.00868,0.46182,1.05728,0.97951,0.93895,0.96924,0.68257,1.12255,0.42725,1.06492,0.0007724,0.0007724,0.0007724
33,2165.08,1.02035,0.46756,1.06024,0.97909,0.93876,0.96523,0.66481,1.15762,0.438,1.08043,0.0007328,0.0007328,0.0007328
34,2230.73,1.01615,0.46355,1.06087,0.97766,0.94305,0.96904,0.67608,1.13007,0.42963,1.07044,0.0006932,0.0006932,0.0006932
35,2295.95,1.00359,0.45303,1.05468,0.97578,0.94533,0.96952,0.67908,1.13402,0.42186,1.06537,0.0006536,0.0006536,0.0006536
36,2361.22,1.00309,0.45017,1.05532,0.98801,0.93859,0.97269,0.68608,1.12275,0.41476,1.06482,0.000614,0.000614,0.000614
37,2426.59,0.99092,0.44363,1.05153,0.97972,0.94653,0.97244,0.68626,1.13317,0.41171,1.06572,0.0005744,0.0005744,0.0005744
38,2492.28,0.99172,0.44269,1.05101,0.98325,0.93574,0.96993,0.68834,1.12376,0.41186,1.06239,0.0005348,0.0005348,0.0005348
39,2557.91,0.99065,0.43921,1.04617,0.98089,0.93555,0.96882,0.68661,1.12284,0.40904,1.06329,0.0004952,0.0004952,0.0004952
40,2622.64,0.99023,0.43625,1.04851,0.97975,0.94762,0.97271,0.69322,1.11238,0.40987,1.061,0.0004556,0.0004556,0.0004556
41,2715.65,0.95705,0.38126,1.04503,0.98285,0.9397,0.96966,0.68731,1.12849,0.41546,1.06351,0.000416,0.000416,0.000416
42,2779.9,0.95016,0.37889,1.04421,0.97912,0.94123,0.96776,0.68443,1.11035,0.41821,1.05705,0.0003764,0.0003764,0.0003764
43,2843.47,0.94397,0.36884,1.04139,0.98904,0.93303,0.96832,0.69004,1.11144,0.41223,1.05917,0.0003368,0.0003368,0.0003368
44,2907.08,0.93406,0.36274,1.03555,0.9877,0.93622,0.96901,0.68905,1.11444,0.41756,1.06177,0.0002972,0.0002972,0.0002972
45,2970.86,0.93144,0.36016,1.0368,0.97378,0.94768,0.97186,0.69369,1.11383,0.40791,1.05965,0.0002576,0.0002576,0.0002576
46,3034.53,0.92831,0.35656,1.03361,0.97987,0.94579,0.97108,0.68946,1.11487,0.40599,1.05971,0.000218,0.000218,0.000218
